id,name,release_date,price,positive_reviews,negative_reviews
10,Counter-Strike,2000-11-01,9.99,198387,5135
20,"Team Fortress Classic",1999-04-01,4.99,5677,923
30,"Day of Defeat",2003-05-01,4.99,5179,566
40,"Deathmatch Classic",2001-06-01,4.99,1929,428
50,"Half-Life: Opposing Force",1999-11-01,4.99,14333,718
60,Ricochet,2000-11-01,4.99,3804,848
70,Half-Life,1998-11-08,9.99,73346,2619
80,"Counter-Strike: Condition Zero",2004-03-01,9.99,19314,1871
100,"Counter-Strike: Condition Zero",2004-03-01,9.99,13442,1535
130,"Half-Life: Blue Shift",2001-06-01,4.99,10256,965
220,"Half-Life 2",2004-11-16,9.99,142368,3687
240,"Counter-Strike: Source",2004-11-01,9.99,135151,5348
280,"Half-Life: Source",2004-06-01,9.99,8232,3130
320,"Half-Life 2: Deathmatch",2004-11-01,4.99,9737,1051
340,"Half-Life 2: Lost Coast",2005-10-27,0.00,9306,1261
360,"Half-Life Deathmatch: Source",2006-05-01,9.99,2444,815
380,"Half-Life 2: Episode One",2006-06-01,7.99,20536,926
400,Portal,2007-10-10,9.99,108353,1715
420,"Half-Life 2: Episode Two",2007-10-10,7.99,28981,914
440,"Team Fortress 2",2007-10-10,0.00,823693,56683
500,"Left 4 Dead",2008-11-17,9.99,40244,1610
550,"Left 4 Dead 2",2009-11-16,9.99,619457,16204
1002,"Rag Doll Kung Fu",2005-10-12,0.99,55,23
1200,"Red Orchestra: Ostfront 41-45",2006-03-14,4.99,1946,294
1250,"Killing Floor",2009-05-14,19.99,60436,3201
1300,"SiN Episodes: Emergence",2006-05-10,9.99,769,93
1500,Darwinia,2005-07-14,9.99,726,198
1510,Uplink,2006-08-23,9.99,1956,188
1520,DEFCON,2006-09-29,9.99,3032,461
1530,Multiwinia,2008-09-19,9.99,427,94
1600,"Dangerous Waters",2006-02-07,2.99,242,72
1610,"Space Empires IV Deluxe",2006-02-07,9.99,183,35
1620,"Jagged Alliance 2 Gold",2006-07-06,19.99,0,0
1630,"Disciples II: Rise of the Elves",2006-07-06,6.99,884,149
1640,"Disciples II: Gallean's Return",2006-07-06,1.39,926,217
1670,"Iron Warriors: T - 72 Tank Command",2006-07-26,0.99,168,105
1690,"Space Empires V",2006-10-16,14.99,275,116
1700,"Arx Fatalis",2007-04-03,4.99,1315,190
1900,"Earth 2160",2006-04-01,1.49,851,361
1930,"Two Worlds Epic Edition",2009-04-30,2.49,3777,1236
